n_adj,n_adp,n_adv,n_aux,n_cconj,n_det,n_intj,n_noun,n_num,n_part,n_pron,n_propn,n_punct,n_sconj,n_sym,n_verb,n_space,n_uadj,n_uadp,n_uadv,n_uaux,n_ucconj,n_udet,n_uintj,n_unoun,n_unum,n_upart,n_upron,n_upropn,n_upunct,n_usconj,n_usym,n_uverb,n_uspace,a_word_ps,a_bry_ps,corr_ttr
1,2,4,2,2,0,0,4,0,2,7,0,5,0,0,4,1,1,1,1,1,1,0,0,1,0,2,4,0,1,0,0,1,1,11.333,7.0,0.728
2,3,2,1,1,3,0,4,1,1,1,2,5,0,0,4,4,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,11.667,4.0,0.478
0,5,2,1,0,6,0,5,1,0,2,1,5,1,1,4,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,33.0,17.0,0.369
10,18,12,17,13,9,0,23,1,18,44,0,20,6,0,46,5,1,1,1,4,1,1,0,1,1,2,6,0,1,1,0,2,1,26.889,19.063,0.5
1,6,4,5,4,4,0,14,1,0,4,2,6,0,1,8,0,1,1,1,3,1,1,0,1,1,0,2,1,1,0,1,1,0,14.75,6.0,0.46
9,8,5,5,5,8,0,15,1,2,17,0,9,2,0,16,0,1,1,1,2,1,1,0,1,1,2,6,0,1,1,0,2,0,14.571,9.429,0.7
10,8,3,6,3,6,0,14,0,4,10,0,10,6,1,15,2,1,1,1,2,1,1,0,1,0,1,3,0,1,1,1,1,1,24.25,5.25,0.287
5,12,4,6,5,4,0,18,2,1,13,0,5,1,0,9,0,1,1,1,4,1,1,0,1,1,1,7,0,1,1,0,2,0,21.25,12.75,0.844
11,12,17,10,6,12,0,21,0,2,9,2,11,3,0,12,4,1,1,1,4,1,1,0,1,0,1,4,1,1,1,0,2,1,26.4,12.4,0.492
12,16,4,10,6,8,0,42,2,6,17,0,40,1,0,17,6,1,1,1,3,1,1,0,1,1,2,7,0,1,1,0,1,1,32.5,12.0,0.506
3,8,0,6,3,3,0,10,1,4,12,4,14,3,2,7,1,1,1,0,3,1,1,0,1,1,2,7,1,1,1,1,1,1,20.25,12.0,0.786
10,16,6,10,11,5,0,17,1,7,23,3,21,0,0,17,7,1,1,1,4,1,1,0,1,1,2,8,1,1,0,0,1,1,19.125,12.696,0.686
2,9,3,3,1,2,0,5,0,0,11,0,2,2,0,7,0,1,1,1,2,1,1,0,1,0,0,5,0,1,1,0,2,0,23.5,21.5,0.825
4,4,1,4,1,2,0,7,2,0,9,0,5,1,0,6,0,1,1,1,2,1,1,0,1,1,0,7,0,1,1,0,1,0,11.5,6.0,0.834
15,22,7,24,6,14,2,34,1,10,28,2,24,6,0,22,0,1,1,1,4,1,1,1,1,1,2,5,1,1,1,0,1,0,16.692,9.308,0.432
6,14,6,8,3,7,0,20,1,1,14,1,10,4,0,12,2,1,1,1,4,1,1,0,1,1,1,5,1,1,1,0,2,1,10.9,7.15,0.61
3,6,4,6,3,4,0,11,1,5,11,0,6,1,0,7,4,1,1,1,3,1,1,0,1,1,2,7,0,1,1,0,1,1,14.4,7.8,0.833
8,7,4,4,5,5,0,13,1,0,12,0,6,1,0,5,1,1,1,1,2,1,1,0,1,1,0,7,0,1,1,0,1,1,24.0,11.333,0.75
3,3,1,4,2,5,0,8,0,2,6,0,5,1,0,9,1,1,1,1,3,1,1,0,1,0,1,4,0,1,1,0,1,1,12.5,6.25,0.6
4,3,1,7,1,3,1,10,1,1,7,0,5,2,1,2,0,1,1,1,1,1,1,1,1,1,1,5,0,1,1,1,1,0,12.0,9.25,0.714
8,17,8,8,7,10,0,34,1,2,12,4,16,2,1,13,3,1,1,1,2,1,1,0,1,1,1,5,1,1,1,1,2,1,20.571,6.714,0.471
6,13,6,8,5,10,0,25,1,4,14,7,17,3,0,13,1,1,1,1,4,1,1,0,1,1,2,4,1,1,1,0,2,1,22.333,14.5,0.489
3,3,4,8,3,3,1,5,0,3,16,0,9,2,0,12,1,1,1,1,3,1,1,1,1,0,2,6,0,1,1,0,1,1,24.333,15.333,0.745
2,4,4,7,4,0,0,3,0,2,7,0,4,1,0,4,0,1,1,1,4,1,0,0,1,0,2,3,0,1,1,0,1,0,21.0,27.786,0.873
9,4,3,5,1,5,0,10,0,1,9,0,4,3,0,9,0,1,1,1,2,1,1,0,1,0,1,4,0,1,1,0,2,0,15.75,6.25,0.445
2,3,2,4,1,1,0,7,0,2,4,0,4,1,1,4,0,1,1,1,3,1,1,0,1,0,2,2,0,1,1,1,1,0,35.0,24.0,0.717
0,0,2,1,0,0,0,6,3,0,2,2,9,0,0,2,5,0,0,1,1,0,0,0,1,1,0,2,1,1,0,0,1,1,5.333,1.762,0.5
4,5,3,5,2,3,0,11,0,0,5,2,4,1,0,5,4,1,1,1,3,1,1,0,1,0,0,4,1,1,1,0,1,1,18.0,9.667,0.577
4,2,4,6,0,1,0,7,0,2,2,0,3,2,0,4,0,1,1,1,4,0,1,0,1,0,1,2,0,1,1,0,2,0,12.333,18.0,0.814
4,5,3,4,2,1,1,10,6,1,12,1,15,0,0,8,7,1,1,1,2,1,1,1,1,1,1,5,1,1,0,0,1,1,20.0,7.0,0.553
6,10,0,4,1,7,0,11,1,0,9,2,11,3,2,6,5,1,1,0,2,1,1,0,1,1,0,3,1,1,1,1,1,1,15.2,7.4,0.406
16,11,19,21,3,10,0,21,1,8,26,1,22,12,0,27,4,1,1,1,3,1,1,0,1,1,2,8,1,1,1,0,4,1,20.2,16.6,0.597
10,19,15,22,7,10,2,24,0,13,44,3,28,10,0,38,1,1,1,1,4,1,1,1,1,0,3,10,1,1,1,0,3,1,18.923,14.654,0.721
7,8,11,21,9,5,1,16,1,7,35,0,23,6,0,26,2,1,1,1,5,1,1,1,1,1,2,8,0,1,1,0,1,1,13.769,9.673,0.687
8,2,4,11,4,2,0,5,1,4,14,0,13,4,0,10,3,1,1,1,3,1,1,0,1,1,2,6,0,1,1,0,1,1,17.0,15.2,0.69
5,5,7,8,1,3,1,16,3,3,17,0,13,2,1,15,2,1,1,1,3,1,1,1,1,1,1,4,0,1,1,1,1,1,10.2,6.65,0.42
4,4,5,2,1,2,0,9,0,2,3,0,5,0,0,5,2,1,1,1,2,1,1,0,1,0,1,2,0,1,0,0,1,1,22.0,4.5,0.32
4,3,2,7,2,3,0,7,1,1,8,2,6,2,0,7,0,1,1,1,2,1,1,0,1,1,1,4,1,1,1,0,1,0,11.0,5.0,0.477
7,15,13,10,9,13,0,28,6,6,22,5,14,5,0,27,8,1,1,1,3,1,1,0,1,1,2,4,1,1,1,0,2,1,18.8,9.7,0.361
